relative_path,extension,size_bytes,modified_utc,sha256,profile_status
1 Literature/Factor et al. - 2026 - The Effect of Community Courts on Recidivism A Quasi-Experimental Study.pdf,.pdf,286597,2026-04-14T15:06:04.544818+00:00,bc05d489f20863dc2274cabcb18b7e4ccc37e2e7e6a083bb1672da50a5960761,document_profiled
1 Literature/Grajzl et al. - 2026 - Does court-annexed mediation facilitate case disposition Evidence from civil and commercial lawsuit.pdf,.pdf,1244601,2026-04-14T12:43:49.712832+00:00,e16badc2b26b8825c946b3a6dd6d54d78f6d139776b392ec40005fb2fc0aa26f,document_profiled
"1 Literature/Grande - 1999 - Alternative dispute resolution, Africa, and the structure of law and power the Horn in context.pdf",.pdf,689761,2026-04-14T10:15:16.082797+00:00,a9852a08199d992079b83d2131474219774fc2e7aca7aed06d114803d4581aa5,document_profiled
1 Literature/Hussey and Hughes - 2007 - Design and analysis of stepped wedge cluster randomized trials.pdf,.pdf,286639,2026-04-14T15:21:09.194577+00:00,33a2bc6075dc5fc1dce4d009f4540dc30a9b6f5117c00af439cd804ae546bc7c,document_profiled
"1 Literature/Jackson - 2018 - Norms, Normativity, and the Legitimacy of Justice Institutions International Perspectives.pdf",.pdf,412769,2026-04-14T15:25:24.292243+00:00,1a345405e2b123d6400246efda4c1886b2892b7f4faf1093b60031a0f3da4ebf,document_profiled
1 Literature/Khair - 2009 - Evaluating Legal Empowerment Problems of Analysis and Measurement.pdf,.pdf,53730,2026-04-14T12:12:14.880517+00:00,b5303ddba30d46c8a64870a118c35bd8c5d42ab5604ed06ce1a7eb5dc4ce88be,document_profiled
1 Literature/Krakowski and Kursani - 2024 - Why Do People Use Informal Justice Experimental Evidence from Kosovo.pdf,.pdf,269783,2026-04-14T13:21:31.755240+00:00,add81aaa4ed4b7c8126587b75986e54dc5ffcfc20f0db995a8cba2c3e1e093e9,document_profiled
1 Literature/Literature Review.docx,.docx,35036,2026-03-16T19:41:44.071997+00:00,daa8a51328f543dd299f5efbf5a4604fc16e8e053079f8a73423ef8fd0b5bc04,document_profiled
1 Literature/Macdonald et al. - 2022 - “Maybe we should take the legal ways” Citizen engagement with lower state courts in post-war northe.pdf,.pdf,849921,2026-04-14T09:15:55.700334+00:00,ea0cf719b5887fc41cec085731aeafeed8647d437fd9707d7d13b388d2e04e16,document_profiled
1 Literature/Maraire - 2025 - The Pursuit of an Appropriate Dispute Resolution Philosophy for Africa.pdf,.pdf,262899,2026-04-14T10:12:46.820659+00:00,af8aa83eb9f3171ec1214b3e3576fb004231f2b23211d1e95c9b84d02f75b064,document_profiled
1 Literature/Maru - 2010 - Access to Justice and Legal Empowerment A Review of World Bank Practice.pdf,.pdf,457705,2026-04-14T10:20:00.701711+00:00,0f06ed0b37a8d8a7ca772384e3b0d2966f2a22993308332769dfce72a86a9b2b,document_profiled
1 Literature/McCart et al. - 2022 - Randomized trial of a diversion program for property offenders with drug use.pdf,.pdf,1369727,2026-04-14T14:06:23.564719+00:00,a482057f5e78cf32aeb91f887166cc4cc0dc2ce86e48b40fcda66c587992b262,document_profiled
1 Literature/Menkel-Meadow - 2007 - Restorative Justice What Is It and Does It Work.pdf,.pdf,1232168,2026-04-14T12:36:27.464283+00:00,98dcddb6f0b693dbfb0c37bcb12498ac6d8688698c2d00021e3ecc4d610c4921,document_profiled
1 Literature/Mennen - 2010 - Lessons from Yambio Legal Pluralism and Customary Justice Reform in Southern Sudan.pdf,.pdf,1422494,2026-04-14T10:15:54.159240+00:00,be069081e388bb9e78a07c54fd597f392bb6e51634420b1f1e24969733f3fa60,document_profiled
1 Literature/Oluoch - 2009 - Legitimacy of the East African Community.pdf,.pdf,197133,2026-04-14T10:04:48.518804+00:00,da6130586dd318de520488ddddd0d85676273c50015f79c91a68525351d10a1a,document_profiled
1 Literature/Owor - 2012 - Creating an Independent Traditional Court A Study of Jopadhola Clan Courts in Uganda.pdf,.pdf,414733,2026-04-14T09:32:43.886953+00:00,9231843f749da7584db561d95d205ae88ede3b3cc163754df4211c61f23636c4,document_profiled
"1 Literature/Paluck and Green - 2009 - Deference, Dissent, and Dispute Resolution An Experimental Intervention Using Mass Media to Change.pdf",.pdf,468488,2026-04-14T13:20:47.189904+00:00,720c4ef7282eb0ec8fb9a683f6516a31f5b6a920b6fc03fb336cc7793f1e7905,document_profiled
1 Literature/Pavlich - 1996 - The Power of Community Mediation Government and Formation of Self-Identity.pdf,.pdf,740213,2026-04-14T12:40:42.275832+00:00,b7a566a0fc32beab3eb41d9c6b5d0d165a0db1f236d947e2567f2d2fa02da0eb,document_profiled
1 Literature/Pimentel - 2010 - Rule of Law Reform Without Cultural Imperialism Reinforcing Customary Justice Through Collateral Re.pdf,.pdf,359981,2026-04-14T10:16:49.776391+00:00,67cb0be079dad75f2d128092ab1486e5b30238f9039036fbd24cebded60e814d,document_profiled
"1 Literature/Read and Michelson - 2018 - Village Dispute Mediation in China, 2002–10 An Enduring Institution amid Rural Change.pdf",.pdf,457087,2026-04-14T15:08:45.418357+00:00,c918e7977ed7c34edf728d0330e56622436611160c1d17015c517d612ce58d7c,document_profiled
1 Literature/Rockowitz et al. - 2024 - A Systematic Review of Criminal Justice Initiatives to Strengthen the Criminal Investigation and Pro.pdf,.pdf,331042,2026-04-14T09:16:06.204194+00:00,856eb4ab01a09be2161ac263f139408ac9a68d55b107d9940d2baa6abb482a94,document_profiled
1 Literature/Sherman et al. - 2015 - Twelve experiments in restorative justice the Jerry Lee program of randomized trials of restorative.pdf,.pdf,847632,2026-04-14T13:51:17.279357+00:00,694d24a6abf3bfceaa4a728bef3106535f619260b30cddfce9008e25e13052ac,document_profiled
1 Literature/Stephens - 2009 - The Commission on Legal Empowerment of the Poor An Opportunity Missed.pdf,.pdf,128323,2026-04-14T12:12:50.779840+00:00,ddb4108b9b9a2b80f055c559d7e667069c4052c7520634cb17c108bbd07a9544,document_profiled
1 Literature/Swenson - 2018 - The promise and peril of paralegal aid.pdf,.pdf,1026749,2026-04-14T10:21:46.200689+00:00,8404b8cb072e9ca17959d73e76976b1362e47f3ded0e1bdaebaf6ec60650f531,document_profiled
1 Literature/Takahashi and Otsuka - 2023 - The Role of Extension in the Green Revolution.pdf,.pdf,336547,2026-04-14T12:45:04.131929+00:00,bdb9dd9ecda3e7194eef5d50dca74d3eef06aea991d155b3aeeb954bbd515fa6,document_profiled
1 Literature/Tyler - 1988 - What is Procedural Justice Criteria Used by Citizens to Assess the Fairness of Legal Procedures.pdf,.pdf,3484544,2026-04-14T12:13:30.902032+00:00,8b1918edda6b3bba38ec5deb7f426e96a5ad53cfc0db63cd8e1313557e67a50d,document_profiled
